eastern-michigan,46,68,3,14,17,340
duke,84,77,16,21,11,340
michigan,73,55,19,7,7,341
villanova,46,44,21,7,19,341
north-dakota,58,48,18,3,19,342
kentucky,96,62,30,15,13,342
louisiana-monroe,59,59,25,8,8,343
michigan-state,80,70,22,15,7,343
sam-houston-state,59,63,8,7,8,344
clemson,74,49,18,6,12,344
marquette,73,59,26,9,14,345
indiana,96,55,23,5,12,345
boston-university,71,55,11,11,14,346
albany-ny,61,59,22,12,8,346
coppin-state,58,56,15,9,14,347
navy,77,63,19,13,10,347
grambling,78,57,23,7,15,348
wyoming,86,60,32,10,11,348
iupui,76,60,25,15,12,349
boston-college,69,46,29,5,15,349
jacksonville-state,65,57,9,7,14,350
bradley,74,47,24,4,14,350
la-salle,69,53,18,8,17,351
florida,82,54,26,7,12,351
montana-state,77,58,13,9,15,352
colorado-state,81,62,28,11,7,352
mount-st-marys,75,54,21,6,24,353
marshall,98,73,14,6,9,353
new-orleans,68,55,11,12,16,354
alabama-birmingham,75,63,20,16,10,354
niagara,62,65,19,14,9,355
loyola-il,75,58,17,6,10,355
north-carolina-at,72,50,15,7,18,356
hofstra,92,54,28,4,11,356
northern-arizona,76,64,20,9,12,357
nebraska-omaha,66,66,10,10,13,357
prairie-view,57,70,18,13,15,358
texas-pan-american,70,54,36,10,18,358
radford,63,57,7,8,9,359
notre-dame,60,61,10,9,4,359
rice,68,54,13,7,11,360
houston,79,59,25,12,7,360
saint-marys-ca,73,54,16,7,8,361
new-mexico-state,58,55,23,10,6,361
saint-peters,63,50,17,5,13,362
bryant,71,57,15,6,8,362
seton-hall,57,59,20,10,13,363
nebraska,80,63,27,14,8,363
south-carolina-upstate,72,64,14,6,11,364
virginia-military-institute,78,54,24,5,13,364
st-francis-ny,66,64,8,12,10,365
richmond,88,58,13,5,8,365
stetson,59,77,11,13,11,366
southern-california,95,64,20,7,13,366
texas-el-paso,46,48,16,6,21,367
arizona,79,59,29,7,6,367
texas-san-antonio,60,64,21,14,17,368
oklahoma-state,82,62,20,13,14,368
texas-southern,64,72,18,14,14,369
san-diego-state,103,65,36,12,13,369
toledo,74,58,24,2,13,370
wright-state,84,59,26,8,16,370
washington-state,69,71,24,18,14,371
seattle,78,55,23,7,17,371
western-carolina,65,51,14,5,21,372
southern-methodist,98,66,23,14,12,372
texas-am,71,65,19,12,11,373
gonzaga,94,65,32,11,11,373
oregon,69,64,24,12,8,374
iowa,77,52,33,9,14,374
syracuse,76,66,25,7,10,375
connecticut,83,57,23,12,19,375
ball-state,64,52,14,10,14,376
virginia-tech,73,63,9,10,8,376
fresno-state,69,71,8,12,14,377
texas-christian,77,58,14,8,15,377
purdue,92,66,10,10,12,378
appalachian-state,70,56,24,6,14,378
abilene-christian,67,49,16,5,9,379
denver,61,51,11,9,15,379
alabama,52,51,15,7,8,380
northeastern,68,42,17,1,11,380
belmont,87,62,16,5,20,381
lipscomb,83,63,26,4,14,381
cal-state-bakersfield,55,57,24,14,18,382
central-michigan,67,56,30,15,15,382
california-irvine,61,55,21,9,15,383
santa-clara,49,54,14,6,15,383
central-arkansas,71,56,13,5,23,384
pittsburgh,97,65,35,13,10,384
central-florida,68,60,19,9,10,385
cal-state-fullerton,52,55,18,5,12,385
davidson,57,52,14,3,11,386
wichita-state,53,65,8,12,12,386
delaware,73,54,13,5,10,387
cornell,56,57,8,4,10,387
hartford,68,50,23,9,15,388
