saint-francis-pa
Opponent,Location,gameid
jacksonville,-1,714
south-carolina-state,-1,715
south-carolina-upstate,1,716
high-point,-1,717
radford,-1,718
hampton,1,719
longwood,1,720
south-carolina-upstate,-1,721
campbell,-1,722
winthrop,1,723
charleston-southern,-1,724
north-carolina-asheville,1,725
gardner-webb,1,726
winthrop,-1,727
campbell,1,728
north-carolina-asheville,-1,729
gardner-webb,-1,730
charleston-southern,1,731

college-of-charleston
Opponent,Location,gameid
presbyterian,1,732
western-carolina,-1,733
rhode-island,1,734
oklahoma-state,-1,735
louisiana-state,0,736
alabama-birmingham,0,737
memphis,0,738
south-carolina-state,1,739
charlotte,1,740
virginia-commonwealth,-1,741
siena,-1,742
coastal-carolina,1,743
north-carolina-wilmington,-1,744
towson,-1,745
james-madison,-1,746
drexel,1,747
delaware,1,748
northeastern,-1,749
hofstra,-1,750
elon,1,751
william-mary,1,752
james-madison,1,753
towson,1,754
delaware,-1,755
drexel,-1,756
hofstra,1,757
northeastern,1,758
william-mary,-1,759
elon,-1,760
north-carolina-wilmington,1,761

cleveland-state
Opponent,Location,gameid
davidson,-1,762
kent-state,1,763
south-carolina-state,1,764
samford,1,765
ohio-state,-1,766
ipfw,1,767
depaul,-1,768
toledo,-1,769
bowling-green-state,1,770
illinois-state,-1,771
niagara,1,772
oakland,1,773
detroit-mercy,1,774
milwaukee,-1,775
green-bay,-1,776
iupui,-1,777
illinois-chicago,-1,778
northern-kentucky,1,779
wright-state,1,780
youngstown-state,1,781
detroit-mercy,-1,782
oakland,-1,783
green-bay,1,784
milwaukee,1,785
illinois-chicago,1,786
iupui,1,787
wright-state,-1,788
northern-kentucky,-1,789
youngstown-state,-1,790

davidson
Opponent,Location,gameid
cleveland-state,1,791
dartmouth,1,792
wichita-state,0,793
purdue,0,794
northeastern,0,795
northeastern,1,796
charlotte,1,797
north-carolina-wilmington,-1,798
winthrop,1,799
temple,0,800
wake-forest,-1,801
north-carolina,-1,802
duquesne,1,803
