saint-francis-pa,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
north-carolina-state,0.892983699503898,1.1953352769679302,63.0,70.55

denver,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
maine,1.0124548011249497,0.7908264136022143,63.0,62.225
kansas-state,0.7713498622589532,0.9036357218496294,56.0,72.6
abilene-christian,0.9803133788670149,1.1056105610561056,61.0,62.225

florida,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
florida-state,0.8221993833504625,1.0923803101820633,60.0,72.975
charleston-southern,1.0943124550035996,0.6131289570143285,76.0,69.45
la-salle,1.1492641906096708,0.9780297661233168,82.0,71.35

florida-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
florida,1.0923803101820633,0.8221993833504625,81.0,74.15
tulane,1.0610079575596816,0.9031413612565444,80.0,75.4
canisius,1.2358803986710964,0.8457538994800693,93.0,75.25

idaho-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
gonzaga,0.9977897063467004,1.4532243415077202,79.0,79.175
boise-state,0.972644376899696,0.986958054282693,72.0,74.025
pacific,1.1528251801289344,1.2107950401167031,76.0,65.925

gonzaga,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
idaho-state,1.4532243415077202,0.9977897063467004,120.0,82.575
texas-southern,1.2702290076335878,0.7831677381648159,104.0,81.875
texas-am,1.172069825436409,0.9722697706264977,94.0,80.2
illinois,1.068362480127186,0.9746954076850983,84.0,78.625

duke,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
kentucky,1.4085347657415697,1.0114388922335942,118.0,83.775
army,1.2180110139293814,0.8640864086408641,94.0,77.175
eastern-michigan,1.126005361930295,0.6351397997928893,84.0,74.6
san-diego-state,1.1976047904191616,0.8788190868520426,90.0,75.15

kentucky,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
duke,1.0114388922335942,1.4085347657415697,84.0,83.05
southern-illinois,1.046811647622558,0.858806404657933,71.0,67.825
north-dakota,1.292929292929293,0.799448656099242,96.0,74.25
virginia-military-institute,1.3026548672566372,1.148861646234676,92.0,70.625

missouri-kansas-city,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
loyola-il,0.60790273556231,1.055922195206669,45.0,74.025
iowa,0.9038737446197991,1.054072553045859,63.0,69.7
connecticut,0.8704253214638971,1.2608987256874582,66.0,75.825
morehead-state,1.1795891318754141,1.2729026036644164,89.0,75.45
eastern-washington,0.9828009828009827,1.0378765284819564,80.0,81.4

loyola-il,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
missouri-kansas-city,1.055922195206669,0.60790273556231,76.0,71.975
furman,0.7958833619210978,0.7992007992007991,58.0,72.875
niagara,1.0702818408847663,0.8982252806954002,75.0,70.075
grambling,1.0921501706484642,0.8628244017526121,80.0,73.25
richmond,1.1735241502683362,0.9748892171344165,82.0,69.875

maryland-baltimore-county,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
marquette,0.594059405940594,0.9911242603550297,42.0,70.7
manhattan,1.1333585190782018,0.7616257781032588,75.0,66.175
air-force,0.9082866411088174,0.8184143222506395,77.0,84.775
high-point,1.04978772674643,0.92151503319016,68.0,64.775
south-dakota,0.7074829931972789,0.800552104899931,52.0,73.5

marquette,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
maryland-baltimore-county,0.9911242603550297,0.594059405940594,67.0,67.6
bethune-cookman,1.1158277744087326,0.707010185739964,92.0,82.45
indiana,0.9561231172233138,1.316420980459376,73.0,76.35
presbyterian,1.063982746225737,0.8175399479747305,74.0,69.55

utah-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
montana-state,1.2728418399495904,0.9140650144834246,101.0,79.35
hartford,1.2578616352201257,0.954248366013072,100.0,79.5
mississippi-valley-state,1.3290915517850832,0.7799074686054196,94.0,70.725
utah-valley,0.8652246256239601,0.625,65.0,75.125
saint-marys-ca,1.1026878015161958,0.8588957055214724,80.0,72.55

montana-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
utah-state,0.9140650144834246,1.2728418399495904,71.0,77.675
indiana,0.48109965635738833,1.1107254425546684,35.0,72.75
colorado-state,1.0972568578553616,1.1360448807854138,77.0,70.175
california-santa-barbara,1.0368144252441773,1.3502109704641352,69.0,66.55

north-dakota-state,
 Opponent, PointsPerPos Scored, PointsPerPos Allowed, 
new-mexico-state,0.8449641644662391,1.0960960960960962,56.0,66.275
